Customer,Total_Revenue,FinancialYear,Quarter,Month,BU,GM%
Widex,0.095,FY26,Q1,May,EU,0.5108260415698347
Widex,0.09,FY26,Q1,Jun,EU,0.5108260415698347
Wolters Kluver,0.06489362,FY26,Q1,Apr,US TMTE,0.5142171799999999
Wolters Kluver,0.06489362,FY26,Q1,May,US TMTE,0.5142171799999999
Wolters Kluver,0.04262976,FY26,Q1,Jun,US TMTE,0.5142171799999999
World Vision Canada,0.03639198555,FY26,Q1,Apr,US TMTE,0.4914327649302673
World Vision Canada,0.0367460001,FY26,Q1,May,US TMTE,0.4914327649302673
World Vision Canada,0.031649731,FY26,Q1,Jun,US TMTE,0.4914327649302673
Yerralpha LLC,0.0,FY26,Q1,Apr,,
Yerralpha LLC,0.0,FY26,Q1,May,,
Yerralpha LLC,0.0,FY26,Q1,Jun,,
YUM A & W Okinawa,0.0008,FY26,Q1,Apr,,
YUM A & W Okinawa,0.0009,FY26,Q1,May,,
YUM A & W Okinawa,0.0008,FY26,Q1,Jun,,
Zones,0.05,FY26,Q1,Apr,US RMD,0.359241166
Zones,0.1,FY26,Q1,May,US RMD,0.359241166
Zones,0.14,FY26,Q1,Jun,US RMD,0.359241166
Zoyili World LLC,0.25,FY26,Q1,Apr,,
Zoyili World LLC,0.25,FY26,Q1,May,,
Zoyili World LLC,0.25,FY26,Q1,Jun,,
Zuora,0.0,FY26,Q1,Apr,,
Zuora,0.0167184,FY26,Q1,May,,
Zuora,0.007776,FY26,Q1,Jun,,
Zurn Industries,0.1122,FY26,Q1,Apr,US RMD,0.6594632166666667
Zurn Industries,0.145,FY26,Q1,May,US RMD,0.6594632166666667
Zurn Industries,0.1434,FY26,Q1,Jun,US RMD,0.6594632166666667
AAON,0.0,FY26,Q1,Apr,,
AAON,0.0,FY26,Q1,May,,
AAON,0.0,FY26,Q1,Jun,,
Connect East PTY Limited,0.01,FY26,Q1,Apr,,
Connect East PTY Limited,0.01,FY26,Q1,May,,
Connect East PTY Limited,0.01,FY26,Q1,Jun,,
Lenskart,0.03,FY26,Q1,Apr,,
Lenskart,0.037,FY26,Q1,May,,
Lenskart,0.028,FY26,Q1,Jun,,
The London Clinic,0.0,FY26,Q1,Apr,UK IRELAND,0.0
The London Clinic,0.019,FY26,Q1,May,UK IRELAND,0.0
The London Clinic,0.03,FY26,Q1,Jun,UK IRELAND,0.0
2U,0.0,FY26,Q1,Apr,,
2U,0.423956,FY26,Q1,May,,
2U,0.400648,FY26,Q1,Jun,,
Public Partnerships LLC,0.0,FY26,Q1,Apr,,
Public Partnerships LLC,0.0,FY26,Q1,May,,
Public Partnerships LLC,0.0,FY26,Q1,Jun,,
